"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HCLTECH","EQ","04-Apr-2022","       1169.65","       1173.20","       1188.95","       1168.00","       1187.00","       1187.05","       1178.86","    2282137","          2690316420.35","      91235","    1510366","         66.18"
"HCLTECH","EQ","05-Apr-2022","       1187.05","       1190.00","       1203.00","       1184.10","       1194.90","       1195.45","       1196.58","    2634464","          3152351353.60","     110920","    1557718","         59.13"
"HCLTECH","EQ","06-Apr-2022","       1195.45","       1190.00","       1194.90","       1167.50","       1171.90","       1170.50","       1174.73","    2838968","          3335018699.05","     106160","    1753378","         61.76"
"HCLTECH","EQ","07-Apr-2022","       1170.50","       1165.60","       1180.75","       1163.00","       1174.65","       1173.30","       1173.29","    3391918","          3979699620.00","     106479","    2285719","         67.39"
"HCLTECH","EQ","08-Apr-2022","       1173.30","       1179.00","       1180.00","       1162.55","       1166.35","       1165.35","       1170.39","    2656091","          3108674139.95","      67268","    1836160","         69.13"
"HCLTECH","EQ","11-Apr-2022","       1165.35","       1164.00","       1164.00","       1131.75","       1134.50","       1133.50","       1138.92","    5679058","          6468014720.65","     251238","    3601397","         63.42"
"HCLTECH","EQ","12-Apr-2022","       1133.50","       1129.80","       1141.70","       1119.55","       1131.50","       1131.15","       1133.98","    2906617","          3296034820.45","     111379","    1416772","         48.74"
"HCLTECH","EQ","13-Apr-2022","       1131.15","       1135.00","       1143.10","       1123.00","       1127.00","       1125.10","       1132.33","    1971580","          2232473060.55","      79409","    1025999","         52.04"
"HCLTECH","EQ","18-Apr-2022","       1125.10","       1110.00","       1112.75","       1084.60","       1105.00","       1101.75","       1098.11","    4391701","          4822571835.35","     192011","    2594489","         59.08"
"HCLTECH","EQ","19-Apr-2022","       1101.75","       1115.90","       1115.95","       1058.75","       1067.00","       1070.25","       1090.34","    3422431","          3731617278.80","     142595","    2069762","         60.48"
"HCLTECH","EQ","20-Apr-2022","       1070.25","       1075.00","       1094.80","       1064.70","       1090.00","       1089.40","       1081.25","    2573318","          2782389121.85","      86606","    1383132","         53.75"
"HCLTECH","EQ","21-Apr-2022","       1089.40","       1095.00","       1105.05","       1081.10","       1102.30","       1099.20","       1094.44","    2547848","          2788468358.65","      89134","    1433936","         56.28"
